Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SXC","SUNCOKE ENERGY INC","Materials","Equity","13,710,325.20","0.03","13,710,325.20","1,870,440.00","7.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NRC","NATIONAL RESEARCH CORP","Health Care","Equity","13,703,693.40","0.03","13,703,693.40","299,862.00","45.70","United States","NASDAQ","USD","1.00","USD","-"
"IE","IVANHOE ELECTRIC INC","Materials","Equity","13,681,042.72","0.03","13,681,042.72","1,030,199.00","13.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARKO","ARKO","Consumer Discretionary","Equity","13,681,597.84","0.03","13,681,597.84","1,821,784.00","7.51","United States","NASDAQ","USD","1.00","USD","-"
"MODV","MODIVCARE INC","Health Care","Equity","13,676,047.00","0.03","13,676,047.00","279,103.00","49.00","United States","NASDAQ","USD","1.00","USD","-"
"VTOL","BRISTOW GROUP INC","Energy","Equity","13,640,748.48","0.03","13,640,748.48","517,872.00","26.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LGFA","LIONS GATE ENTERTAINMENT VOTING CO","Communication","Equity","13,584,958.32","0.03","13,584,958.32","1,321,494.00","10.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYEL","LYELL IMMUNOPHARMA INC","Health Care","Equity","13,529,033.00","0.03","13,529,033.00","3,865,438.00","3.50","United States","NASDAQ","USD","1.00","USD","-"
"ANIP","ANI PHARMACEUTICALS INC","Health Care","Equity","13,508,928.00","0.03","13,508,928.00","281,436.00","48.00","United States","NASDAQ","USD","1.00","USD","-"
"LFST","LIFESTANCE HEALTH GROUP INC","Health Care","Equity","13,500,518.76","0.03","13,500,518.76","1,595,806.00","8.46","United States","NASDAQ","USD","1.00","USD","-"
